Code,Quantity,option_id,warehouse_id,opening_stock,cost
DO0C9410,2,,WH2,12.99,5.50
SYBB9507,1,,WH2,8,3.00
CD0G90185,5,,WH2,16.99,7.50
SY00A087,1,,WH2,15.99,7.00
DO006881,1,,WH2,13.99,6.00
SY008553,1,,WH2,13.99,6.00
DO00745,1,,WH2,13.99,6.00
DO002154,2,,WH2,14.99,6.50
SYBB80153,1,,WH2,10.99,4.50
DO00745,5,,WH2,13.99,6.00
DO0090257,4,,WH2,14.99,6.50
SY0PV006,1,,WH2,10,4.00
DO008825,2,,WH2,13.99,6.00
SY0B3310,1,,WH2,10,4.00
DO008233,1,,WH2,24.99,11.50
DO008094,1,,WH2,13.99,6.00
CD0010330,4,,WH2,13.99,6.00
CD0B5691,4,,WH2,17.99,8.00
CD005683,4,,WH2,19.99,9.00
CD0R10509,9,,WH2,19.99,9.00
CD0080036,3,,WH2,19.99,9.00
CDBB90853,5,,WH2,12.99,5.50
CDBB8468,4,,WH2,13.99,6.00
SS0B7828,2,,WH2,15.99,7.00
SS009656,1,,WH2,18.99,8.50
CDBY043,4,,WH2,33.99,16.00
CDY045,1,,WH2,30.99,14.50
CD008876,4,,WH2,11.99,5.00
DO0B6558,2,,WH2,25.99,12.00
CD0G0769,3,,WH2,10,4.00
CD0040003,2,,WH2,12.99,5.50
CDBB0769,1,,WH2,10,4.00
CD0R0769,2,,WH2,10,4.00
CD11005,1,,WH2,38,18.00
DO004812,1,,WH2,19.99,9.00
CD0A486,3,,WH2,18.99,8.50
CD0W9507,2,,WH2,20,9.00
CD0F16,1,,WH2,18.99,8.50
CDT3056,1,,WH2,34.99,16.50
DO005461,1,,WH2,16.99,7.50
CDTB055,1,,WH2,17.99,8.00
CDBB6224,2,,WH2,10.99,4.50
DO005357,1,,WH2,14.99,6.50
LJ00C202,1,,WH2,14.99,6.50
SS0W7828,2,,WH2,15.99,7.00
CD0B7137,1,,WH2,20,9.00
DO009219,1,,WH2,12.99,5.50
DO006988,1,,WH2,12.99,5.50
SS0080050,3,,WH2,15.99,7.00
SS00S85,3,,WH2,17.99,8.00
SS0WS200,2,,WH2,15.99,7.00
SS00TC387,3,,WH2,17.99,8.00
SS0P2065,4,,WH2,14.99,6.50
LCSS01,1,,WH2,12.99,5.50
SS0Y5620,1,,WH2,13.99,6.00
SS00TC9999,5,,WH2,18.99,8.50
SSBB8444,1,,WH2,20,9.00
SSGG40114,2,,WH2,15.99,7.00
CD000074,1,,WH2,10,4.00
SS009514,1,,WH2,20.99,9.50
SY0Y5110,1,,WH2,12.99,5.50
SS0C861,3,,WH2,20.99,9.50
CDXZ024,4,,WH2,18.99,8.50
CO005358,1,,WH2,18.99,8.50
CDG099,1,,WH2,20,9.00
CD005002,4,,WH2,20.99,9.50
CD008197,4,,WH2,17.99,8.00
CD00AJ012,5,,WH2,11.99,5.00
CD0W3960,1,,WH2,10.99,4.50
SS007179,2,,WH2,17.99,8.00
CD001112,5,,WH2,10.99,4.50
CD0W2005,2,,WH2,8,3.00
CD008003,2,,WH2,14.99,6.50
CD0B2005,2,,WH2,8,3.00
CD0050578,2,,WH2,21.99,10.00
JK004685,1,,WH2,19.99,9.00
CD050605,2,,WH2,29,13.50
CDGG6055,1,,WH2,21.99,10.00
CD0050501,2,,WH2,21.99,10.00
TD000038,1,,WH2,29,13.50
CD000056,1,,WH2,17.99,8.00
CDPD0338,1,,WH2,18.99,8.50
CD000050,1,,WH2,13.99,6.00
CD0C96,1,,WH2,17.99,8.00
CD000G18,2,,WH2,26,12.00
CDX4120,2,,WH2,20,9.00
CD00401,9,,WH2,11.99,5.00
CD0R135,3,,WH2,10,4.00
CD004,1,,WH2,16.99,7.50
SY00JU208,2,,WH2,7.99,3.00
CD009876,3,,WH2,10.99,4.50
CD00869,2,,WH2,8.5,3.25
CDRM8300,2,,WH2,20,9.00
CD005157,4,,WH2,11.99,5.00
CD0C886,1,,WH2,21.99,10.00
CD00PD95,3,,WH2,38.99,18.50
CD0050401,3,,WH2,21.99,10.00
CD0PPD88,4,,WH2,38.99,18.50
CD0BPD80,2,,WH2,38.99,18.50
CD0PPD85,2,,WH2,48.99,23.50
CD0BPD84,1,,WH2,48.99,23.50
CD0CPD85,4,,WH2,48.99,23.50
CD0CPD84,1,,WH2,48.99,23.50
CD0SPD81,2,,WH2,48.99,23.50
CD0CPD81,2,,WH2,48.99,23.50
CD0BPD81,2,,WH2,48.99,23.50
CD0CPD87,2,,WH2,48.99,23.50
CD0SPD87,2,,WH2,48.99,23.50
CD0PPD87,1,,WH2,48.99,23.50
CD0PPD90,1,,WH2,48.99,23.50
CD0PPD89,3,,WH2,48.99,23.50
CD0CPD86,4,,WH2,48.99,23.50
CD00PD91,1,,WH2,48.99,23.50
CD004694,1,,WH2,89.99,44.00
CD0PPD86,1,,WH2,48.99,23.50
CD00C1630,1,,WH2,98.99,48.50
SK0G3543,3,,WH2,12.99,5.50
SKBB3735,7,,WH2,12.99,5.50
SK0B8225,2,,WH2,12.99,5.50
SK006965,1,,WH2,10,4.00
SH0B999,1,,WH2,8,3.00
SK0090762,1,,WH2,12.99,5.50
SK0B3609,1,,WH2,11.99,5.00
SK00263,5,,WH2,12.99,5.50
SK00109,6,,WH2,12.99,5.50
SK00A2016,2,,WH2,10,4.00
SK00911,7,,WH2,13.99,6.00
SK006808,1,,WH2,11.99,5.00
SK001166,2,,WH2,13.99,6.00
SKDB1519,7,,WH2,13.99,6.00
SK0H033,1,,WH2,13.99,6.00
SK0B1519,1,,WH2,13.99,6.00
SK00285,1,,WH2,13.99,6.00
SK09086,4,,WH2,13.99,6.00
SK00108,2,,WH2,13.99,6.00
SJ001253,10,,WH2,11.99,5.00
LJ00197,11,,WH2,13.99,6.00
SK008803,1,,WH2,12.99,5.50
SK003017,4,,WH2,12.99,5.50
LJ002223,4,,WH2,13.99,6.00
LJ001082,1,,WH2,15.99,7.00
LJ0B6863,3,,WH2,14.99,6.50
LJ002269,9,,WH2,14.99,6.50
LJ001823,4,,WH2,14.99,6.50
LJ00853,4,,WH2,14.99,6.50
LJ006023,4,,WH2,14.99,6.50
LJ00807,3,,WH2,14.99,6.50
LJ00212,2,,WH2,14.99,6.50
LJ005185,2,,WH2,13.99,6.00
LJ00269,5,,WH2,14.99,6.50
LJ008068,4,,WH2,14.99,6.50
LJ001142,5,,WH2,14.99,6.50
LJ0B810,2,,WH2,14.99,6.50
LJ0BH010,1,,WH2,14.99,6.50
LJ0B6853,1,,WH2,14.99,6.50
LJ0B2663,1,,WH2,14.99,6.50
LJ002669,1,,WH2,14.99,6.50
LJBB025,1,,WH2,14.99,6.50
LJ008021,1,,WH2,16.99,7.50
LJ0H005,1,,WH2,13.99,6.00
LJ0H009,1,,WH2,13.99,6.00
LJ005185,1,,WH2,13.99,6.00
LJ00801,5,,WH2,14.99,6.50
LJ002521,1,,WH2,14.99,6.50
LJ001018,3,,WH2,14.99,6.50
LJ0H009,2,,WH2,13.99,6.00
SJ00956,5,,WH2,12.99,5.50
LJ009273,1,,WH2,14.99,6.50
LJ001018,4,,WH2,14.99,6.50
SJ00573,1,,WH2,12.99,5.50
LJ001067,3,,WH2,14.99,6.50
LJ001067,4,,WH2,14.99,6.50
SJ008001,1,,WH2,10,4.00
SJ0L9084,1,,WH2,12.99,5.50
SJ00873,1,,WH2,11.99,5.00
SJ0B556,1,,WH2,11.99,5.00
SH005133,3,,WH2,11.99,5.00
SJ00675,2,,WH2,11.99,5.00
SH008006,3,,WH2,11.99,5.00
SJ00838,3,,WH2,11.99,5.00
SJ001094,7,,WH2,11.99,5.00
SJ002097,2,,WH2,11.99,5.00
LJ00801,1,,WH2,14.99,6.50
LJ00590,2,,WH2,14.99,6.50
LJ00807,7,,WH2,14.99,6.50
LJ008410,3,,WH2,14.99,6.50
LJ00853,3,,WH2,14.99,6.50
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
